,product_name,package_size,suppression_used,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-medicaid Amount Reimbursed
827,DARIFFENAC,60,0,2520.0,55.0,2882.01,2855.88,26.13
828,DARZALEX,100,0,23184.5,424.0,1957740.4400000002,1779557.27,178183.17
829,DARZALEX F,4,0,17617.25,1174.0,8846251.01,8317507.67,528743.34
830,DASETTA 1-,8,0,31436.23,483.0,13724.349999999999,13634.65,89.69999999999999
831,DASETTA 7/,8,0,10207.008,164.0,5333.57,5333.57,0.0
832,DAYBUE ORA,1,0,42750.0,16.0,902236.2,828307.0,73929.2
833,DAYSEE  LE,26,0,144865.721,1537.0,60327.17,60280.979999999996,46.19
834,DAYTRANA 2,3,0,570.0,17.0,8576.79,8183.49,393.3
835,DAYTRANA 3,6,0,930.0,31.0,14062.85,13667.93,394.92
836,DAYVIGO,120,0,42382.0,1367.0,438639.54,420728.79000000004,17910.75
837,DDAVP 4MCG,0,0,250.0,12.0,23966.44,22010.26,1956.18
838,DEBLITANE,8,0,41178.914000000004,577.0,11006.23,11002.33,3.9
839,DECITABINE,99,0,1166.04,180.0,33340.81,23307.44,10033.369999999999
840,DEFERASIRO,828,0,69705.0,678.0,735856.74,735522.96,333.78
841,DEFEROXAMI,141,0,3028.761,299.0,103563.34,95138.82,8424.52
842,DEFINITY V,83,0,1724.0,928.0,149360.55,138966.86000000002,10393.69
843,DEHYDRATED,10,0,360.0,24.0,33683.58,33683.58,0.0
844,DELESTROGE,8,0,1629.5,339.0,69311.52,61710.46,7601.06
845,DELSTRIGO,2,0,13586.0,355.0,1150484.88,1144089.34,6395.54
846,DELZICOL D,36,0,12519.0,46.0,43080.520000000004,43080.520000000004,0.0
847,DEMECLOCYC,145,0,3891.0,53.0,57581.100000000006,57581.100000000006,0.0
848,DEMEROL ME,192,0,3110.0,931.0,289724.59,41536.02999999999,248188.56
849,DENTA 5000,100,0,65390.2,1147.0,17985.28,17955.54,29.740000000000002
850,DENTAGEL 1,120,0,92848.0,1581.0,25178.519999999997,25158.14,20.38
851,DEPAKOTE 1,26,0,7640.0,28.0,11579.33,10039.470000000001,1539.8600000000001
852,DEPAKOTE 2,39,0,13306.0,121.0,43386.08,42892.869999999995,493.21000000000004
853,DEPAKOTE 5,26,0,17206.0,161.0,92744.48999999999,89969.95,2774.54
854,DEPAKOTE E,102,0,53590.0,489.0,221790.52000000002,202545.93000000002,19244.59
855,DEPAKOTE S,26,0,114819.0,362.0,181046.54,148235.22999999998,32811.31
856,DEPO PROVE,44,0,1317.4740000000002,701.0,70869.66,65965.1,4904.56
857,DEPO-ESTRA,3,0,1363.0,226.0,42754.380000000005,40277.17,2477.21
858,DEPO-MEDRO,313,0,9933.5,7284.0,322350.4,102444.24,219906.16
859,DEPO-PROVE,260,0,8906.689999999999,857.0,49313.11,45939.19,3373.92
860,DEPO-SUBQ,26,0,293.571,292.0,18151.97,18033.99,117.98
861,DEPO-TESTO,22,0,14798.183,4905.0,242118.63,226298.25000000003,15820.380000000001
862,DERMA-SMOO,16,0,17267.760000000002,141.0,5576.39,5536.0,40.39
863,DERMOTIC O,40,0,980.0,49.0,1861.17,1822.48,38.69
864,DESCOVY 12,1,0,810.0,20.0,57572.72,57572.72,0.0
865,DESCOVY 20,6,0,758870.0,19957.0,52932244.15,51876445.7,1055798.45
866,DESETHEST,106,0,4652.564,82.0,1576.54,1576.54,0.0
867,DESFLURANE,22,0,71.0,13.0,78.4,78.4,0.0
868,DESIPRAMIN,117,0,62401.0,959.0,27710.16,27146.089999999997,564.07
869,DESLORATAD,88,0,48002.0,1236.0,33594.6,33227.72,366.88
870,DESMOPRESS,285,0,750356.024,9107.0,523213.35,513377.82000000007,9835.529999999999
871,DESOGESTRE,58,0,118431.082,1643.0,40513.91,40502.71,11.2
872,DESONIDE .,181,0,16830.0,407.0,13863.84,13656.59,207.25
873,DESONIDE C,321,0,127979.0,2788.0,88852.78,87684.29999999999,1168.48
874,DESONIDE L,160,0,17825.0,210.0,16655.309999999998,16526.440000000002,128.87
875,DESONIDE O,36,0,77985.0,1787.0,65141.0,62948.21000000001,2192.79
876,DESOXIMETA,553,0,74390.0,1149.0,99478.14000000001,98485.51000000001,992.6300000000001
877,DESPRAMINE,2,0,1581.0,33.0,544.22,501.89,42.33
878,DESVENLAFA,997,0,673289.0,16548.0,624870.3500000001,612279.23,12591.119999999999
879,DESVENLAFZ,66,0,26223.0,696.0,21908.74,21672.34,236.4
880,DEX SAC/AM,8,0,31614.0,867.0,22483.329999999998,22204.78,278.55
881,DEXA INT .,176,0,56945.418000000005,2583.0,92362.89,66488.82,25874.07
882,DEXA SOL .,126,0,131691.0,920.0,14570.13,14406.94,163.19
883,DEXAMETHA,850,0,353309.667,32928.0,1083072.83,420721.92,662350.9099999999
884,DEXAMETHAS,2309,0,609276.613,89199.0,8271249.48,1226820.38,7044429.1
885,DEXAMTHEAS,1,0,14060.5,1313.0,21188.27,21147.76,40.51
886,DEXILANT 3,60,0,15426.0,533.0,158511.59,154884.45,3627.14
887,DEXILANT 6,240,0,68326.0,1525.0,683535.9099999999,678325.57,5210.34
888,DEXLANSOPR,122,0,597818.0,13632.0,4440231.970000001,4396292.23,43939.74
889,DEXMEDETOM,516,0,596.0,491.0,47009.67,1298.02,45711.65
890,DEXMETHASO,120,0,6805.75,3044.0,228004.88,53691.869999999995,174313.01
891,DEXMETHYLP,1566,0,1077295.0,29382.0,1218808.25,1165112.19,53696.06
892,DEXTROAMPE,2,0,2531.0,60.0,1640.29,1640.29,0.0
893,DEXTROAMPH,1445,0,3431942.5,62304.0,1940706.22,1888854.47,51851.75
894,DEXTROMETH,79,0,66012.0,386.0,5832.12,5832.12,0.0
895,DEXTROSE 2,38,0,374501.0,42.0,9005.98,9005.98,0.0
896,DEXTROSE 5,1405,0,3288890.7,7836.0,1297751.83,398812.04,898939.79
897,DEXTROSE 7,52,0,1218225.57,845.0,322247.76,322247.76,0.0
898,DEXTROSE I,5,0,725.0,229.0,24530.18,2051.7299999999996,22478.449999999997
899,DF CHILDRE,118,0,71.0,71.0,91.52000000000001,91.52000000000001,0.0
900,DIACOMIT 2,24,0,7652.0,80.0,207924.19999999998,147487.22999999998,60436.97
901,DIACOMIT 5,12,0,2880.0,34.0,156221.7,146412.55,9809.15
902,DIALYVITE,29,0,6541.0,126.0,2482.0699999999997,2482.0699999999997,0.0
903,DIASTAT AC,40,0,26.0,23.0,9187.64,8354.599999999999,833.04
904,DIAZEPAM 1,13,0,66317.0,1587.0,19570.440000000002,19570.440000000002,0.0
905,DIAZEPAM 2,158,0,121029.5,3162.0,35564.29,35540.04,24.25
906,DIAZEPAM 5,238,0,464604.1,4184.0,92149.98,90158.56,1991.42
907,DIAZEPAM C,205,0,2668.0,827.0,22417.45,4035.9,18381.55
908,DIAZEPAM I,282,0,3759.0,1108.0,242753.01,24331.000000000004,218422.01
909,DIAZEPAM R,100,0,4704.0,3176.0,1227263.75,1125557.49,101706.26
910,DIAZEPAM T,1040,0,1079017.0,32342.0,385919.79000000004,385387.51,532.28
911,DIAZOXIDE,98,0,21335.0,196.0,151182.68,139849.21999999997,11333.46
912,DIBROMM CO,52,0,142654.0,958.0,13724.58,13724.58,0.0
913,DICLEGIS,20,0,25753.0,496.0,139355.32,132372.43,6982.889999999999
914,DICLOFENAC,3655,0,50622858.78,413027.0,19456924.85,19425662.97,31261.88
915,DICLOFFENA,18,0,331900.0,2453.0,156492.11,156331.91,160.2
916,DICLOFN SO,8,0,68800.0,437.0,8351.400000000001,8255.23,96.17
917,DICLOXACIL,8,0,76527.0,2020.0,85922.3,83491.64,2430.66
918,DICOLFENAC,5,0,1380.0,29.0,8404.24,8404.24,0.0
919,DICYCLOMIN,1225,0,4128394.0,61217.0,1243691.1,1231412.88,12278.22
920,DIETHYLPRO,4,0,11238.0,259.0,11034.66,10954.029999999999,80.63
921,DIFICID TA,2,0,4394.0,234.0,977312.33,943739.0700000001,33573.26
922,DIFLORASON,196,0,199920.0,2092.0,2766508.92,2766508.92,0.0
923,DIFLUCAN,229,0,139.721,91.0,993.8,993.8,0.0
924,DIFLUNISAL,7,0,1458.0,35.0,1816.85,1814.1499999999999,2.7
925,DIFLUPREDN,106,0,5685.0,985.0,118689.29999999999,115597.29999999999,3092.0
926,DIGOXIN 0.,709,0,324543.0,6452.0,132315.29,131620.14,695.1500000000001
927,DIGOXIN 12,4,0,30323.0,568.0,12716.29,12716.29,0.0
928,DIGOXIN 25,2,0,11505.0,233.0,5031.41,4969.6,61.81
929,DIGOXIN 50,132,0,180.0,71.0,642.78,642.78,0.0
930,DIGOXIN EL,92,0,12243.0,149.0,27240.64,26990.3,250.34
931,DIGOXIN IJ,190,0,263.0,54.0,2708.1800000000003,2708.1800000000003,0.0
932,DIGOXIN OR,124,0,22130.0,278.0,47573.09,44856.979999999996,2716.1099999999997
933,DIGOXIN TA,27,0,120226.0,2156.0,53930.49,53824.11,106.38
934,DIHYDROE M,54,0,1928.0,220.0,282030.48,282030.48,0.0
935,DIHYDROERG,124,0,4469.0,534.0,600338.1799999999,591370.01,8968.17
936,DILANTIN 1,112,0,108095.0,648.0,154573.75,153190.78,1382.97
937,DILANTIN 3,132,0,35332.0,488.0,51496.76,50405.34,1091.42
938,DILANTIN I,48,0,6485.0,39.0,7331.99,7128.35,203.64
939,DILAUDID H,1,0,24.0,19.0,107.35,107.35,0.0
940,DILAUDID I,456,0,26748.0,5595.0,458335.99,34633.729999999996,423702.26
941,DILAUDID L,11,0,23.0,21.0,77.31,77.31,0.0
942,DILTIAZ HC,6,0,12769.0,206.0,9365.09,9351.85,13.239999999999998
943,DILTIAZEM,5642,0,1767454.399,26411.0,1023974.01,979652.31,44321.7
944,DIMENHYDRI,118,0,7535.0,169.0,2227.4,2227.4,0.0
945,DIMETHYL F,547,0,87972.0,1214.0,144562.37,144097.77,464.59999999999997
946,DIOVAN   V,34,0,1497.0,18.0,10381.92,10381.92,0.0
947,DIPHEDRYL,260,0,290705.542,2330.0,28777.339999999997,28502.46,274.88
948,DIPHENHIST,2,0,79044.0,1733.0,20942.39,20942.239999999998,0.15
949,DIPHENHYDR,2752,0,4812388.933999999,102475.0,5568236.14,976310.75,4591925.39
950,DIPHENOX/A,92,0,6440.0,69.0,8318.27,7826.949999999999,491.32
951,DIPHENOXYL,104,0,335393.0,7251.0,141181.55,139910.19,1271.3600000000001
952,DIPRIVAN,2276,0,434587.0,16661.0,1703319.4700000002,241194.54,1462124.9300000002
953,DIPRIVAN 1,52,0,7187.0,1051.0,20374.800000000003,6340.84,14033.96
954,DIPYRIDAMO,82,0,53.0,23.0,7.99,7.99,0.0
955,DISOPYRAMI,5,0,9380.0,83.0,9420.32,9304.79,115.53
956,DISULFIRAM,186,0,88156.0,2271.0,234393.11,229396.76,4996.35
957,DIURIL ORA,24,0,25129.0,272.0,10223.099999999999,9951.48,271.62
958,DIVALP SOD,14,0,429951.0,6659.0,115354.41,115117.87,236.54
959,DIVALPROEX,2276,0,13546844.377999999,146906.0,3094306.52,3048137.85,46168.67
960,DIVIGEL  E,180,0,3675.0,78.0,18911.359999999997,18911.359999999997,0.0
961,DOBUTAMINE,236,0,97330.0,358.0,23019.79,8871.22,14148.57
962,DOCETAXEL,986,0,9678.25,1274.0,539318.59,206457.24,332861.35000000003
963,DOCOSANOL,70,0,675.1,279.0,7062.13,7062.13,0.0
964,DOCUSATE C,340,0,66640.0,1346.0,17856.870000000003,17856.870000000003,0.0
965,DOCUSATE M,186,0,31439.0,193.0,17993.55,17993.55,0.0
966,DOCUSATE S,1919,0,7768343.0,120336.0,1269036.91,1214180.33,54856.58
967,DOCUSOL KI,10,0,7200.0,29.0,3328.77,3328.77,0.0
968,DOCUSSODSF,6,0,302.0,208.0,120.56,120.56,0.0
969,DOFETILIDE,223,0,7147.0,67.0,4659.42,4659.42,0.0
970,DOJOLVI 0.,100,0,47530.0,36.0,520056.42000000004,414052.07,106004.35
971,DOK 100MG,301,0,158528.0,2504.0,31219.39,31219.39,0.0
972,DONEPEZIL,1228,0,819187.0,18659.0,315309.06,315207.20999999996,101.85
973,DOPAMINE H,2,0,2900.0,11.0,60.35,60.35,0.0
974,DOPTELET,80,0,6372.0,176.0,2485401.51,2476984.9000000004,8416.61
975,DORYX MPC,12,0,1860.0,34.0,37639.35,36816.17,823.18
976,DORYX-MPC,60,0,1570.0,44.0,20177.45,19556.79,620.66
977,DORZOLAMID,992,0,416498.0,30240.0,898272.8300000001,893415.4299999999,4857.4
978,DOTTI  EST,80,0,37634.0,2447.0,270505.31,262820.1,7685.21
979,DOUBLE ANT,146,0,40509.694,1289.0,15922.16,15922.16,0.0
980,DOVATO TAB,26,0,169316.0,4635.0,15282904.969999999,14934389.600000001,348515.37
981,DOXAZOSIN,291,0,630082.0,10964.0,147444.16,147136.53,307.63
982,DOXEPIN 3M,6,0,12428.0,318.0,94917.48000000001,94204.88,712.6
983,DOXEPIN 6M,6,0,7292.0,224.0,60748.78,60514.53,234.25
984,DOXEPIN CA,310,0,42407.0,929.0,20985.31,20805.239999999998,180.07
985,DOXEPIN HC,615,0,572129.0,11303.0,676141.72,669324.79,6816.93
986,DOXEPIN HY,194,0,238881.4,5088.0,109809.91,109289.43,520.48
987,DOXEPIN TA,16,0,54443.0,1395.0,428732.23,422745.66000000003,5986.57
988,DOXERCALCI,204,0,119973.5,34036.0,311253.31,18409.2,292844.11
989,DOXOR INJ,4,0,6050.0,147.0,44114.17,4334.59,39779.579999999994
990,DOXORUBICI,829,0,35877.0,910.0,574965.84,196014.4,378951.44
991,DOXPEIN HC,2,0,4342.0,61.0,2360.07,2360.07,0.0
992,DOXY 100,4,0,745.0,613.0,53150.26,2714.56,50435.7
993,DOXY DR 10,2,0,12911.0,426.0,46179.19,45931.009999999995,248.18
994,DOXY MONO,85,0,506981.0,14763.0,305156.22,300848.05,4308.17
995,DOXYCYCLIN,3857,0,6012106.234,194182.0,5113188.83,5038077.66,75111.17
996,DOXYLAMINE,26,0,473675.0,9326.0,1153987.7600000002,1149956.65,4031.11
997,DRIMINATE,24,0,838.0,36.0,349.9,349.9,0.0
998,DRL CET 10,24,0,1018051.0,11392.0,100242.23000000001,100238.85,3.38
999,DRL CETIRI,90,0,4323.0,111.0,1742.45,1742.45,0.0
1000,DRL CONTRO,2,0,213921.0,4782.0,97655.62,97655.62,0.0
1001,DRL DICLOF,20,0,236630.0,1612.0,41708.68,41708.68,0.0
1002,DRL FAMO 1,180,0,42755.0,740.0,7935.83,7930.0599999999995,5.77
1003,DRL FAMOTI,3,0,4580.0,61.0,437.81,437.49,0.32
1004,DRL FEXO 6,4,0,197252.0,3284.0,59833.08,59833.08,0.0
1005,DRL HAB 14,284,0,101.0,100.0,630.95,630.95,0.0
1006,DRL NICOTI,288,0,209045.0,1713.0,90275.11,90260.61,14.5
1007,DRO+ETHIN+,60,0,30439.989999999998,481.0,96428.51000000001,96428.51000000001,0.0
1008,DROBABINOL,12,0,2033.0,44.0,4004.44,3971.96,32.48
1009,DRONABINOL,461,0,81031.0,1388.0,168781.47,167248.57,1532.9
1010,DROPERIDOL,104,0,1154.0,607.0,22577.8,5739.02,16838.78
1011,DROSP/ETHI,212,0,23249.17,359.0,9216.0,9207.6,8.4
1012,DROSPIRENO,662,0,914506.2919999999,12339.0,353532.36,353055.77,476.59000000000003
1013,DROXIA,85,0,11858.0,168.0,11051.939999999999,10633.48,418.46000000000004
1014,DROXIDOPA,180,0,7234.0,32.0,8419.24,8419.24,0.0
1015,DUEXIS  IB,3,0,1080.0,12.0,24628.98,24628.98,0.0
1016,DULERA 100,6,0,85636.0,6334.0,2226597.41,2204971.52,21625.89
1017,DULERA 200,8,0,117110.4,8057.0,3013025.41,2987255.37,25770.04
1018,DULERA INH,3,0,7241.0,501.0,186614.47999999998,186009.88,604.6
1019,DULOXETINE,4854,0,9575787.333999999,171944.0,3178187.91,3157935.23,20252.68
1020,DUOBRII LO,2,0,9030.0,87.0,87746.5,87120.35,626.15
1021,DUPIXENT 3,4,0,26532.0,5994.0,21427516.740000002,21052240.27,375276.47
1022,DUPIXENT P,3,0,3147.76,1288.0,4716756.09,4617151.029999999,99605.06
1023,DUPIXENT S,8,0,51431.28,12010.0,45146350.31,44340660.20999999,805690.1000000001
1024,DURACLON 1,10,0,49.0,13.0,6058.85,84.52,5974.33
1025,DURAMORPH,30,0,1409.0,78.0,30497.89,1466.8,29031.09
1026,DUREZOL,7,0,75.0,14.0,3303.46,3303.46,0.0
1027,DURYSTA 10,1,0,12.0,12.0,9802.09,8185.91,1616.18
1028,DUTASTERID,660,0,219472.0,4246.0,131686.0,131012.59,673.41
1029,DYANAVEL T,4,0,26835.0,209.0,76665.58,65952.68000000001,10712.9
1030,DYANAVEL X,8,0,11247.0,361.0,132298.63,128278.63,4020.0
1031,DYE FREE C,300,0,726.0,365.0,1594.04,1594.04,0.0
1032,DYMISTA,23,0,299.0,13.0,2097.64,2097.64,0.0
1033,DYSPORT  A,14,0,241.743,135.0,177240.5,166777.09,10463.41
1034,EAR DROPS,70,0,1658.0,146.0,414.88,414.88,0.0
1035,EC-NAPROSY,3,0,102716.0,2071.0,250016.84999999998,246777.11,3239.74
1036,ECONAZOLE,92,0,172365.0,3193.0,90917.75,90054.9,862.8499999999999
1037,ECONOZOLE,128,0,206310.0,2880.0,82358.25,82048.19,310.06
1038,ECONTRA ON,160,0,9527.011,10030.0,245413.58,234585.65,10827.93
1039,ED A-HIST,2,0,981.0,49.0,701.02,701.02,0.0
1040,EDARBI 40M,60,0,20305.0,430.0,144431.51,142224.74,2206.77
1041,EDARBI 80M,60,0,19410.0,403.0,149745.36,148460.87,1284.49
1042,EDARBYCLOR,120,0,34103.0,759.0,250232.57,247812.47999999998,2420.09
1043,EDLUAR 10M,186,0,964.0,32.0,13028.23,13028.23,0.0
1044,EDURANT 25,2,0,9545.0,254.0,411682.04000000004,408252.20999999996,3429.83
1045,EE/ETONOGE,4,0,20817.269,8042.0,1802791.67,1800168.42,2623.25
1046,EFAVIRENZ,120,0,5880.0,144.0,18052.1,17994.920000000002,57.18
1047,"EFAVIRENZ,",90,0,2340.0,59.0,59064.079999999994,58952.85,111.23
1048,EFAVIRENZ-,4,0,8885.0,191.0,42229.24,41944.28,284.96
1049,EFAVIRENZ/,60,0,8933.0,220.0,45226.96,44219.16,1007.8
1050,EFFER-K 10,120,0,13220.0,257.0,7723.43,7687.43,36.0
1051,EFFER-K 20,241,0,13380.0,567.0,16488.02,10306.61,6181.41
1052,EFFER-K 25,120,0,2740.0,83.0,1527.28,1302.1399999999999,225.14000000000001
1053,EFFER-K TA,141,0,4050.0,153.0,2536.2200000000003,2517.85,18.37
1054,EFFEXOR XR,126,0,10364.0,179.0,180466.48,179537.58000000002,928.9
1055,EFFIENT TA,30,0,630.0,14.0,10765.44,10765.44,0.0
1056,EGRIFTA SV,60,0,71.0,69.0,486311.72000000003,472997.52,13314.2
1057,ELAPRASE 6,2,0,2148.0,63.0,2241959.35,2204226.06,37733.29
1058,ELCYS  CYS,6,0,7404.23,131.0,117702.71,117702.71,0.0
1059,ELEPSIA XR,120,0,12210.0,145.0,363029.67000000004,363029.67000000004,0.0
1060,ELETRIPTAN,1009,0,18741.0,1543.0,72899.69,71203.81,1695.88
1061,ELIDEL CRE,4,0,2130.0,27.0,18811.61,18811.61,0.0
1062,ELIGARD 22,20,0,563.6600000000001,559.0,486402.51999999996,433123.14,53279.38
1063,ELIGARD 45,45,0,13.0,13.0,19385.13,12744.05,6641.08
1064,ELIGARD 7.,300,0,92.0,70.0,20393.659999999996,19040.55,1353.1100000000001
1065,ELINEST 0.,8,0,179876.816,2850.0,91008.08,90970.77,37.31
1066,ELIQUIS,704,0,6734535.0,84061.0,60835564.099999994,59783011.06,1052553.04
1067,ELLA  ULIP,8,0,13833.681,13280.0,641855.25,640419.13,1436.12
1068,ELMIRON,4,0,166751.0,1207.0,1741534.66,1684861.4,56673.26
1069,ELOCTATE 1,3,0,801237.0,78.0,1792351.02,1767278.61,25072.41
1070,ELOCTATE 2,3,0,784932.0,63.0,1718458.5699999998,1692151.0499999998,26307.52
1071,ELOCTATE 3,2,0,1241538.0,51.0,2718744.7800000003,2700519.31,18225.47
1072,ELOCTATE 4,2,0,1656490.0,47.0,3691161.19,3691161.19,0.0
1073,ELOCTATE 5,3,0,738825.0,42.0,1701557.21,1701557.21,0.0
1074,ELURYNG  E,70,0,19939.856,7589.0,1709776.15,1706680.76,3095.39
1075,EMEND 150M,1,0,290.10400000000004,248.0,55569.119999999995,41759.01,13810.11
1076,EMERPHED 5,20,0,72.0,51.0,10544.1,1028.29,9515.81
1077,EMFLAZA  D,64,0,37188.0,1130.0,12764155.41,12298103.9,466051.51
1078,EMGALITY,64,0,12161.0,9965.0,8007546.149999999,7743394.57,264151.58
1079,EMPAVELI 1,1,0,2960.0,17.0,671492.93,671492.93,0.0
1080,EMSAM  SEL,180,0,5935.0,205.0,401774.94,371846.76,29928.18
1081,EMTR/TENO,186,0,81398.0,1599.0,63960.45,63710.16,250.29000000000002
1082,EMTRICITAB,346,0,516379.0,9899.0,466442.80000000005,465283.46,1159.3400000000001
1083,EMTRICTABN,2,0,42831.0,880.0,34991.19,34897.659999999996,93.53
1084,EMTRIVA,2,0,1298.0,48.0,27003.15,27003.15,0.0
1085,EMVERM,60,0,1927.0,668.0,1113827.67,1105548.4300000002,8279.24
1086,ENALAPRIL,1530,0,2611681.87,32933.0,1455850.4,1438317.12,17533.28
1087,ENALAPRILA,10,0,25.0,21.0,33.8,33.8,0.0
1088,ENBREL  ET,52,0,47513.67999999999,11164.0,78911758.5,77858044.05,1053714.45
1089,ENDACOF-DM,16,0,233330.5,1450.0,24224.72,24224.72,0.0
1090,ENDARI,120,0,196640.0,285.0,853492.32,817291.3400000001,36200.979999999996
1091,ENDOCET 10,140,0,14917.0,195.0,4164.35,4142.450000000001,21.9
1092,"ENDOCET, 5",140,0,2125.0,59.0,867.5999999999999,867.5999999999999,0.0
1093,ENDOMETRIN,6,0,22151.0,417.0,293461.82999999996,271033.1,22428.73
1094,ENEMA DISP,360,0,594585.0,1222.0,14649.2,14649.2,0.0
1095,ENEMEEZ MI,16,0,102005.0,551.0,44067.63,44067.63,0.0
1096,ENEMEEZ PL,6,0,35250.0,196.0,15445.7,15445.7,0.0
1097,ENHERTU-10,4,0,2054.8,771.0,5311032.44,4850628.98,460403.46
1098,ENJAYMO IN,1,0,1430.0,53.0,79285.77,79285.77,0.0
1099,ENOXAP SOD,151,0,27358.6,1414.0,338703.0,333030.07999999996,5672.92
1100,ENOXAPARIN,5224,0,164859.715,15209.0,2072873.36,1636258.87,436614.49
1101,ENPRESSE T,116,0,6477.128000000001,83.0,3309.95,3309.95,0.0
1102,ENSKYCE TA,146,0,369321.86199999996,5245.0,99072.59,98980.33,92.26
1103,ENSPRYNG 1,2,0,36.0,34.0,590656.94,590656.94,0.0
1104,ENSTILAR A,252,0,22080.0,331.0,456896.0,432993.57,23902.43
1105,ENTACAPONE,97,0,101883.0,641.0,49156.03,49021.950000000004,134.08
1106,ENTECAVIR,696,0,227232.0,4718.0,184137.44,182105.93,2031.51
1107,ENTRESTO F,642,0,2885738.0,32164.0,30982311.330000002,30488177.46,494133.87
1108,ENTYVIO 30,80,0,1149.0,1332.0,9097630.99,8605088.219999999,492542.77
1109,ENULOSE LA,128,0,2657488.7690000003,3017.0,72802.42,72704.73,97.69
1110,ENVARSUS X,39,0,173228.563,2080.0,1621608.07,1558573.1,63034.97
1111,EOVIST,20,0,4288.0,417.0,61690.85,49024.97,12665.880000000001
1112,EPANED  EN,2,0,36604.0,169.0,103615.28,97741.9,5873.38
1113,EPCLUSA 40,2,0,22850.0,816.0,20200625.34,20134154.240000002,66471.1
1114,EPHEDRINE,78,0,190.0,161.0,15322.539999999999,1584.52,13738.02
1115,EPIDIOLEX,154,0,1766426.9,7442.0,27035153.96,24429721.98,2605431.98
1116,EPINASTINE,152,0,6255.0,1043.0,92097.89,90963.73000000001,1134.1599999999999
1117,EPINEPHRIN,588,0,98892.234,48455.0,11168111.73,10824745.739999998,343365.99
1118,EPIPEN EPI,6,0,2733.6000000000004,661.0,406282.52,399118.03,7164.49
1119,EPIPEN JR.,4,0,1360.2,305.0,200690.76,194912.7,5778.0599999999995
1120,EPLERENONE,533,0,105636.0,1512.0,79141.37,77728.92000000001,1412.4499999999998
1121,EPOGEN  EP,198,0,89951.919,270488.0,29059965.419999998,3848327.16,25211638.26
1122,EPRONTIA,2,0,241772.0,833.0,362671.30000000005,357686.19,4985.11
1123,EPZICOM TA,26,0,1260.0,32.0,29353.409999999996,29353.409999999996,0.0
1124,ERBITUX,184,0,197436.0,791.0,3139492.95,2730774.59,408718.36
1125,ERGOCALCIF,348,0,3264601.0779999997,495399.0,6039872.87,6037819.18,2053.69
1126,ERGOTAMINE,24,0,708.0,34.0,128895.73,128895.73,0.0
1127,ERIVEDGE 1,2,0,3321.0,105.0,1529559.5899999999,1529559.5899999999,0.0
1128,ERLEADA 60,24,0,26400.0,210.0,3049914.95,3049914.95,0.0
1129,ERRIN TABS,6,0,856039.618,11434.0,222199.32,222105.62,93.7
1130,ERTAPENEM,525,0,14763.165,3191.0,1677062.48,1650053.38,27009.1
1131,ERY 2% PAD,144,0,3900.0,63.0,5750.99,5384.08,366.90999999999997
1132,ERY-PED 40,26,0,20700.0,117.0,55583.55,55562.04,21.51
1133,ERYPED 200,13,0,3501.0,15.0,10579.04,10266.36,312.68
1134,ERYTHROMYC,2919,0,1781223.7170000002,112900.0,4442702.6,4384040.42,58662.17999999999
1135,ESBRIET 26,1,0,3939.0,19.0,152649.12,152649.12,0.0
1136,ESCITALOPR,1887,0,15381869.102,333879.0,4457278.63,4437026.25,20252.38
1137,ESMOLOL HC,20,0,173.0,69.0,492.03000000000003,492.03000000000003,0.0
1138,ESMOLOL HY,20,0,54.0,52.0,179.02,179.02,0.0
1139,ESOMEP MAG,18,0,106963.0,2384.0,47304.14,47297.14,7.0
1140,ESOMEPRAZO,4713,0,1162675.0,24732.0,1919622.8,1885522.0300000003,34100.77
1141,ESTARYLLA,338,0,829870.356,11490.0,205341.09,205174.59,166.5
1142,ESTAZOLAM,20,0,970.0,23.0,1473.29,1473.29,0.0
1143,ESTRACE 42,28,0,1700.0,38.0,6478.780000000001,6343.0,135.78
1144,ESTRADIOL,5408,0,3356269.552,63771.0,3315095.94,3238612.91,76483.03
1145,ESTRING VA,72,0,895.0,887.0,461533.76,449450.42000000004,12083.34
1146,ESZOPICLON,342,0,255464.0,8401.0,128209.62,127464.78,744.84
1147,ETHACRYNIC,2,0,4116.0,34.0,10358.01,9878.189999999999,479.82
1148,ETHAMBUTOL,8,0,62825.5,820.0,46642.78,45938.05,704.73
1149,ETHINYL ES,188,0,476877.57,8406.0,550209.19,549264.84,944.3499999999999
1150,ETHOSUXIMI,69,0,534282.0,2278.0,149691.16000000003,147314.0,2377.16
1151,ETHOSUXMID,32,0,668773.0,1277.0,66189.29000000001,65619.03,570.26
1152,ETHYNODIOL,212,0,11013.128,189.0,5734.53,5644.01,90.52
1153,ETODOLAC 4,6,0,58316.0,901.0,27904.11,27783.2,120.91000000000001
1154,ETODOLAC 5,6,0,36485.0,607.0,19403.88,19354.39,49.49
1155,ETODOLAC C,8,0,29005.0,451.0,18050.739999999998,17871.82,178.92000000000002
1156,ETODOLAC E,4,0,3455.0,75.0,5542.7,5414.79,127.91
1157,ETODOLAC T,2,0,16160.0,239.0,7557.6,7371.16,186.44
1158,ETODOLAC U,3,0,4766.0,73.0,2355.19,2355.19,0.0
1159,ETOLODAC X,2,0,1716.0,38.0,2548.3199999999997,2484.39,63.93
